last_updated,group_name,name,value,unit,source
2023-08-06,Tổng FDI,Đăng ký,2.81,Tỷ USD,Cục Đầu tư nước ngoài
2023-09-03,Tổng FDI,Đăng ký,1.91,Tỷ USD,Cục Đầu tư nước ngoài
2023-09-03,Tổng FDI,Giải ngân,1.52,Tỷ USD,Cục Đầu tư nước ngoài
2023-10-10,Tổng FDI,Đăng ký,2.06,Tỷ USD,Cục Đầu tư nước ngoài
2023-10-10,Tổng FDI,Giải ngân,2.8,Tỷ USD,Cục Đầu tư nước ngoài
2023-11-12,Tổng FDI,Đăng ký,5.55,Tỷ USD,Cục Đầu tư nước ngoài
2023-11-12,Tổng FDI,Giải ngân,2.1,Tỷ USD,Cục Đầu tư nước ngoài
2023-11-28,Tổng FDI,Đăng ký,3.09,Tỷ USD,Cục Đầu tư nước ngoài
2023-11-28,Tổng FDI,Giải ngân,2.25,Tỷ USD,Cục Đầu tư nước ngoài
2024-02-18,Tổng FDI,Đăng ký,7.75,Tỷ USD,Cục Đầu tư nước ngoài
2024-02-18,Tổng FDI,Giải ngân,2.93,Tỷ USD,Cục Đầu tư nước ngoài
2024-02-18,Tổng FDI,Đăng ký,2.36,Tỷ USD,Cục Đầu tư nước ngoài
2024-02-18,Tổng FDI,Giải ngân,1.48,Tỷ USD,Cục Đầu tư nước ngoài
2024-02-29,Tổng FDI,Đăng ký,1.93,Tỷ USD,Cục Đầu tư nước ngoài
2024-02-29,Tổng FDI,Giải ngân,1.32,Tỷ USD,Cục Đầu tư nước ngoài
2024-05-15,Tổng FDI,Đăng ký,1.88,Tỷ USD,Cục Đầu tư nước ngoài
2024-05-15,Tổng FDI,Giải ngân,1.83,Tỷ USD,Cục Đầu tư nước ngoài
2024-05-15,Tổng FDI,Đăng ký,3.1,Tỷ USD,Cục Đầu tư nước ngoài
2024-05-15,Tổng FDI,Giải ngân,1.65,Tỷ USD,Cục Đầu tư nước ngoài
2024-05-30,Tổng FDI,Đăng ký,1.8,Tỷ USD,Cục Đầu tư nước ngoài
2024-05-30,Tổng FDI,Giải ngân,1.97,Tỷ USD,Cục Đầu tư nước ngoài
2024-06-28,Tổng FDI,Đăng ký,4.12,Tỷ USD,Cục Đầu tư nước ngoài
2024-06-28,Tổng FDI,Giải ngân,2.59,Tỷ USD,Cục Đầu tư nước ngoài
2024-08-12,Tổng FDI,Đăng ký,2.81,Tỷ USD,Cục Đầu tư nước ngoài
2024-08-12,Tổng FDI,Giải ngân,1.71,Tỷ USD,Cục Đầu tư nước ngoài
2024-09-05,Tổng FDI,Đăng ký,2.52,Tỷ USD,Cục Đầu tư nước ngoài
2024-09-05,Tổng FDI,Giải ngân,1.6,Tỷ USD,Cục Đầu tư nước ngoài
2024-10-06,Tổng FDI,Đăng ký,4.26,Tỷ USD,Cục Đầu tư nước ngoài
2024-10-06,Tổng FDI,Giải ngân,3.19,Tỷ USD,Cục Đầu tư nước ngoài
2024-11-05,Tổng FDI,Đăng ký,2.48,Tỷ USD,Cục Đầu tư nước ngoài
2024-11-05,Tổng FDI,Giải ngân,2.24,Tỷ USD,Cục Đầu tư nước ngoài
2024-12-05,Tổng FDI,Đăng ký,4.12,Tỷ USD,Cục Đầu tư nước ngoài
2024-12-05,Tổng FDI,Giải ngân,2.1,Tỷ USD,Cục Đầu tư nước ngoài
2025-01-05,Tổng FDI,Đăng ký,6.85,Tỷ USD,Cục Đầu tư nước ngoài
2025-01-05,Tổng FDI,Giải ngân,3.67,Tỷ USD,Cục Đầu tư nước ngoài
2025-05-07,Tổng FDI,Đăng ký,4.33,Tỷ USD,Cục Đầu tư nước ngoài
2025-05-07,Tổng FDI,Giải ngân,1.51,Tỷ USD,Cục Đầu tư nước ngoài
2025-03-05,Tổng FDI,Đăng ký,2.57,Tỷ USD,Cục Đầu tư nước ngoài
2025-03-05,Tổng FDI,Giải ngân,1.44,Tỷ USD,Cục Đầu tư nước ngoài
2025-04-07,Tổng FDI,Đăng ký,4.08,Tỷ USD,Cục Đầu tư nước ngoài
2025-04-07,Tổng FDI,Giải ngân,2.01,Tỷ USD,Cục Đầu tư nước ngoài
2025-05-07,Tổng FDI,Đăng ký,2.84,Tỷ USD,Cục Đầu tư nước ngoài
2025-05-07,Tổng FDI,Giải ngân,1.78,Tỷ USD,Cục Đầu tư nước ngoài
