time,open,high,low,close,volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,ADX_14,DMP_14,DMN_14
2025-10-30,32.47,32.66,31.7,31.74,28059380,35.37949999999999,35.5112,33.79276823654389,34.68087359316756,33.54166186555588,-0.8881053566236687,-0.5711971714774748,-0.31690818514619395,31.106335013716397,35.37949999999999,39.65266498628359,24.156163802674417,0.07414468998009659,10.121288163948137,9.104932675439125,23.404899379531084,15.301858256903504,33.90987545060056
2025-10-31,31.65,32.11,31.24,31.24,26797881,35.2265,35.4946,33.40003466169099,34.42599406774774,31.80118395547466,-1.0259594060567494,-0.5672409767284443,-0.4587184293283051,30.604776187395004,35.2265,39.848223812605,26.24003981437269,0.06872152451781362,5.144291091593483,8.406524466750321,24.701066672133873,14.58047580678253,34.80388919164968
2025-11-03,31.24,31.47,29.6,29.6,50058055,34.8735,35.428399999999996,32.81541394450776,34.06851302569235,26.87518870674988,-1.2530990811845868,-0.6355045214850253,-0.6175945596995615,29.69832744249044,34.8735,40.04867255750956,29.679685477566405,-0.009499919219868301,1.1292346298619855,5.464937961801206,26.604945854960842,13.145914125787867,40.00834903165651
2025-11-04,29.51,31.65,29.24,31.65,57869584,34.598,35.4262,32.63611949150657,33.8893639126781,39.49220641602119,-1.2532444211715301,-0.5085198891775748,-0.7447245319939553,29.35287044964569,34.598,39.843129550354305,30.320420546588295,0.2189773892428585,8.684684684684687,4.986070135380056,28.498948870463185,11.56645650402713,36.99616337474539
2025-11-05,31.7,32.34,31.65,31.79,30083711,34.31099999999999,35.4108,32.505947262044025,33.73385547470194,40.25040984281216,-1.2279082126579155,-0.3865469445311681,-0.8413612681267474,29.11104269248294,34.31099999999999,39.510957307517046,30.310730130378328,0.2575941636717249,18.160715899846338,9.324878404797674,29.45767171683866,14.725482425931324,35.67458522134769
2025-11-06,31.88,31.93,31.02,31.24,23201799,34.021499999999996,35.3392,32.311186144806484,33.549125439538834,38.22398843671166,-1.2379392947323495,-0.3172624212844817,-0.9206768734478679,28.814588151312716,34.021499999999996,39.22841184868727,30.60953719669785,0.23290310256536764,25.702194029559763,17.5158648713636,30.623117912798122,14.014450313369606,37.294873352873495
2025-11-07,31.11,31.15,29.92,30.01,36706977,33.6685,35.2244,31.957157507143947,33.286967999572994,34.0904727782196,-1.329810492429047,-0.32730689518494316,-1.0025035972441039,28.37952552473545,33.6685,38.957474475264554,31.41793947021431,0.1541390001870823,20.825620126279645,21.562843351895253,32.13707441538346,13.031500528763567,40.52393288139567
2025-11-10,30.01,31.74,29.83,30.61,33054484,33.3155,35.0904,31.749902506044876,33.088674073678696,37.633432774759555,-1.3387715676338203,-0.26901437631177316,-1.0697571913220472,28.202448171590675,33.3155,38.428551828409326,30.694732652425,0.23543197968700388,18.835927708932203,21.787913954923877,32.88311477676434,14.791038550452537,36.53125747395544
2025-11-11,31.06,31.84,30.7,31.74,30234068,33.035,34.9754,31.748379043576435,32.98877229044324,43.764556158308224,-1.2403932468668017,-0.13650884443580358,-1.1038844024309982,28.231919738334582,33.035,37.83808026166541,29.07873625951515,0.3651906766647523,25.253131879609622,21.638226571607163,33.46256820040711,14.36500850156347,34.1947444437223
2025-11-12,31.97,32.66,31.7,32.34,34991321,32.763999999999996,34.8876,31.839397652256984,32.94071508374374,46.757536392141155,-1.1013174314867555,0.002053576755394193,-1.1033710082421497,28.47362752199766,32.763999999999996,37.054372478002335,26.1895524234058,0.4505870408485588,42.839085970530824,28.97604851969089,33.11375664578532,17.989834363373514,32.4502391471736
2025-11-13,32.38,32.38,31.7,31.84,21331238,32.472500000000004,34.7728,31.839490321140527,32.85918063309605,44.62603574988432,-1.0196903119555252,0.06694455702929969,-1.0866348689848249,28.808568368541813,32.472500000000004,36.136431631458194,22.566366195754497,0.4136856164878439,56.751924127449136,41.614713992529865,32.79075384026209,17.3159556203389,31.234690080630145
2025-11-14,31.7,32.2,31.52,31.84,19645683,32.2065,34.69,31.839568733272756,32.78368577138523,44.62603574988433,-0.9441170381124735,0.11401426469788101,-1.0581313028103545,29.235498317065456,32.2065,35.17750168293454,18.449702283294005,0.43832046576998296,66.02827310498502,55.206427734321665,32.60299737800567,16.64451082506318,31.04995690977025
2025-11-17,31.88,32.29,31.74,32.25,15968861,32.0905,34.6208,31.90271200507695,32.74415349202336,46.92690266926535,-0.8414414869464082,0.17335185269115705,-1.0147933396375652,29.323519877194656,32.0905,34.85748012280534,17.244855161529692,0.5288220357431209,71.5332252121052,64.77114081484645,32.3209450284892,16.635334087580556,30.03549193506398
2025-11-18,32.29,32.75,32.06,32.38,25631078,31.9515,34.5222,31.976140927372803,32.71717915928089,47.66938462709299,-0.7410382319080853,0.21900408618358402,-0.9600423180916693,29.56166925285495,31.9515,34.34133074714505,14.95911457768837,0.5896507002665142,79.9536114102692,72.50503657578648,31.506788007626085,18.75042895239053,28.765729338725485
2025-11-19,32.25,32.29,31.29,31.56,23287948,31.7785,34.39919999999999,31.912119246238525,32.63146218451934,43.53244037561792,-0.7193429382808176,0.19255950384868137,-0.911902442129499,29.84482707005558,31.7785,33.71217292994442,12.169692905231031,0.4435013034995834,78.75086883129784,76.74590181789075,31.303826143277423,17.492376665669738,31.575413966065653
2025-11-20,31.56,31.84,31.11,31.7,21077879,31.655499999999996,34.279,31.879485516047982,32.562464985666054,44.41931631779873,-0.682979469618072,0.18313837800914168,-0.8661178476272137,30.060037997945468,31.655499999999996,33.25096200205452,10.080156699812209,0.513945803768031,75.21367521367524,77.97271848508076,31.238056563799503,16.684967110975244,31.256099884823282
2025-11-21,31.24,31.47,31.02,31.24,18457074,31.577999999999996,34.1594,31.78110312896368,32.46450461635746,42.080688193655874,-0.6834014873937804,0.14617308818674668,-0.829574575580527,30.061891824440007,31.577999999999996,33.09410817555999,9.602306514408708,0.3885303814567337,64.38746438746439,72.78400281081248,31.240537100460212,15.946581220875796,30.458597041802815
2025-11-24,31.52,31.79,31.24,31.33,11842375,31.559500000000003,34.0362,31.71170264758465,32.380467237368016,42.71615203384986,-0.6687645897833647,0.12864798863772997,-0.7974125784210947,30.04077059684754,31.559500000000003,33.07822940315247,9.624546669956523,0.42444341976798894,59.47846335974189,66.35986765362718,30.80614421859902,17.51421659382806,29.328072447436618
2025-11-25,31.11,31.24,29.7,29.92,53067162,31.422499999999996,33.8956,31.436056086417782,32.19821040497039,36.044054655833584,-0.7621543185526072,0.028206607894790015,-0.7903609264473972,29.832897848516854,31.422499999999996,33.01210215148314,10.117604592143488,0.02739746904654062,38.52101158261801,54.128979776608105,31.443252972194532,15.659194310584775,36.22849790681417
2025-11-26,30.06,31.02,30.01,30.97,36055500,31.3495,33.7936,31.364355150045817,32.107231856454064,43.16359160878031,-0.7428767064082464,0.03798737603132063,-0.7808640824395671,29.818663953912818,31.3495,32.88033604608718,9.766254939231446,0.3760481238438294,33.40744067669738,43.80230520635243,32.03402317599421,14.539983030781936,33.63913457793511
2025-11-27,30.83,31.11,30.2,30.24,20124958,31.2745,33.6736,31.19137743465415,31.968918385605612,39.84281906645645,-0.7775409509514617,0.0026585051904843837,-0.7801994561419461,29.681810764775555,31.2745,32.867189235224444,10.185225888339986,0.17523482386875747,22.185792349726796,31.371414869680734,32.45213450758132,14.261622418434921,31.625357036773142
2025-11-28,30.2,30.47,29.65,29.88,25495781,31.2065,33.5544,30.989627060091973,31.814183690375565,38.278792560531905,-0.8245566302835918,-0.035485739313316556,-0.7890708909702753,29.50155102715658,31.2065,32.91144897284342,10.926883648236222,0.1109854250395139,22.25453904459721,25.94925735700713,33.19005315803847,13.478609523745382,33.57156584789745
